listing_id,price_segment,mean_price,neighbourhood,most_frequent_segment
530767,Luxury,200.0,Brent,
532361,Mid-Range,94.0,Brent,
532379,Superior,453.6242424242424,Southwark,Superior
533351,High-End,140.0,Westminster,
533943,Superior,901.0,Westminster,
533972,Luxury,300.0,Ealing,
534506,Budget,41.81716417910448,Hackney,
535323,High-End,140.0,Hackney,
536121,Superior,477.0,Lambeth,
536886,High-End,150.0,Westminster,
536996,Budget,70.0,Lambeth,
537828,Mid-Range,99.0,Richmond upon Thames,
538156,High-End,160.0,Southwark,
541081,Mid-Range,112.40506329113924,Lambeth,Mid-Range
541363,Mid-Range,110.0,Islington,
542646,Mid-Range,100.80223880597015,Hammersmith and Fulham,
542754,Budget,80.0,Haringey,
543108,Budget,88.56716417910448,Kensington and Chelsea,
543650,Luxury,263.0,Westminster,
544258,High-End,163.34883720930233,Hammersmith and Fulham,High-End
544613,High-End,145.8955223880597,Merton,
544685,High-End,170.0,Merton,
544824,Mid-Range,99.6455223880597,Hammersmith and Fulham,
545404,Luxury,275.0,Southwark,
545563,Budget,62.0,Islington,
546039,Mid-Range,99.0,Camden,
547367,Budget,90.0,Islington,
547803,Mid-Range,100.67164179104478,Hackney,
548429,Luxury,300.0,Southwark,Luxury
549033,Budget,84.0,Southwark,
549999,Superior,400.0,Hackney,
550146,High-End,135.2910447761194,Hackney,
550492,High-End,149.0,Haringey,
550570,Budget,60.0,Tower Hamlets,
550805,Budget,49.0,Southwark,
553233,High-End,130.0,Lambeth,
555159,Budget,90.0,Tower Hamlets,Budget
556065,Budget,60.0,Hackney,
556542,Luxury,235.44776119402985,Wandsworth,
557123,Budget,90.0,Islington,
558694,High-End,140.0,Lambeth,
558798,Luxury,200.0,Lambeth,
559231,Budget,61.0,Barnet,
559579,High-End,177.07462686567163,Islington,
559643,Mid-Range,99.8955223880597,Newham,
559841,Luxury,243.0,Newham,
561187,Superior,370.0,Redbridge,
561379,Mid-Range,103.09701492537313,Lambeth,
562636,Mid-Range,100.0,Islington,
562967,Superior,400.0,Greenwich,
563124,Mid-Range,100.0,Islington,
563229,High-End,165.0,Southwark,
563243,High-End,155.0,Hammersmith and Fulham,
563693,Mid-Range,100.0,Wandsworth,
564861,Budget,60.0,Newham,
565168,Budget,85.0,Southwark,
565214,Luxury,220.0,Hammersmith and Fulham,
565442,High-End,180.0,Newham,
565477,Budget,67.92910447761194,Hackney,
565770,Budget,45.0,Hounslow,
566338,Budget,70.0,Lambeth,
566427,Luxury,200.0,Islington,
566538,High-End,149.0,Tower Hamlets,
567040,High-End,150.0,Hackney,
567534,Mid-Range,99.0,Camden,
569300,High-End,143.07089552238807,Wandsworth,
569402,Luxury,300.0,Lewisham,
569410,Budget,70.0,Hackney,
569709,Budget,78.0,Hammersmith and Fulham,
569871,Superior,370.0,Hammersmith and Fulham,
569963,Budget,75.7276119402985,Lambeth,
570762,Budget,78.0,Hackney,
571984,Luxury,200.0,Islington,
572632,Luxury,210.0,Hackney,
572805,Mid-Range,125.0,Lambeth,Mid-Range
572996,Budget,55.0,Southwark,
573155,Mid-Range,113.0,Camden,
573391,Mid-Range,110.0,Brent,
574436,Mid-Range,105.0,Tower Hamlets,
575832,High-End,170.0,Hackney,
577113,High-End,180.32679738562092,Lambeth,High-End
577113,Luxury,204.8695652173913,Lambeth,High-End
580534,Mid-Range,110.0,Camden,
582899,Mid-Range,115.0,Lambeth,
583403,Luxury,243.0,Kensington and Chelsea,
584928,High-End,154.5440414507772,Southwark,High-End
584988,Luxury,275.0,Newham,
586300,Luxury,341.0,Newham,
587412,Mid-Range,120.0,Barnet,
588044,Mid-Range,108.34228187919463,Tower Hamlets,Mid-Range
588044,High-End,155.64705882352942,Tower Hamlets,Mid-Range
588238,Luxury,300.0,Westminster,
588321,Budget,75.0,Kensington and Chelsea,
589041,High-End,140.0,Southwark,
590443,Budget,47.0,Redbridge,
590823,Mid-Range,100.0,Westminster,
590889,Luxury,250.0,Newham,
590971,Mid-Range,100.0,Hackney,
591006,Mid-Range,100.0,Haringey,
591549,Mid-Range,99.0,City of London,
591837,Luxury,200.0,Kensington and Chelsea,
595103,Budget,60.0,Lambeth,
596256,Budget,90.0,Hackney,
596823,High-End,150.0,Islington,High-End
597030,High-End,190.0,Southwark,High-End
597726,Mid-Range,96.13432835820896,Kensington and Chelsea,
599008,High-End,169.0,Westminster,
600013,Luxury,219.0,Kensington and Chelsea,
600357,Budget,71.0,Hackney,
600500,Budget,80.0,Lambeth,
601330,Mid-Range,106.0,Kensington and Chelsea,
601432,Mid-Range,94.34482758620689,Lambeth,Mid-Range
602007,Luxury,200.0,Camden,
602302,Luxury,200.0,Westminster,
602461,Mid-Range,100.0,Kensington and Chelsea,
602475,Budget,85.0,Tower Hamlets,
602570,Mid-Range,92.0,Hackney,Mid-Range
604687,Luxury,286.0,Westminster,
605086,Budget,50.0,Kensington and Chelsea,
605400,Budget,59.0,Kensington and Chelsea,Budget
605497,Superior,365.6231343283582,Westminster,
605812,Budget,66.41791044776119,Hackney,
606382,Mid-Range,95.0,Camden,
606861,Luxury,249.0,Islington,
607129,High-End,163.18840579710144,Hackney,High-End
607676,Budget,85.0,Hackney,
607796,High-End,151.98062015503876,Camden,High-End
607885,Mid-Range,110.0,Brent,
608438,Mid-Range,99.0,Lambeth,
608897,High-End,180.0,Kensington and Chelsea,
609258,Mid-Range,120.0,Hammersmith and Fulham,
609973,Budget,90.0,Brent,
611709,Mid-Range,110.0,Merton,Mid-Range
611893,High-End,148.3760683760684,Ealing,High-End
613404,Luxury,295.0,Kensington and Chelsea,
614012,High-End,166.0,Newham,
615216,Budget,79.0,Kensington and Chelsea,Budget
615347,Mid-Range,104.91791044776119,Hackney,
